zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
85032,04013103209,PHOENIX,AZ,0.012574985,0.004469728,0.000981997,0.011065987
85032,04013103502,PHOENIX,AZ,0.067462227,0.052824055,0.009165303,0.0616261
85032,04013103211,PHOENIX,AZ,0.057453566,0.043478261,0.007528642,0.052359018
85032,04013103306,PHOENIX,AZ,0.0495942,0.069890289,0.142716858,0.058709695
85032,04013619300,PHOENIX,AZ,0.01844545,0.002031694,0.002618658,0.016026602
85032,04013103501,PHOENIX,AZ,0.039425144,0.072328322,0.015384615,0.039630407
85032,04013619400,PHOENIX,AZ,0.009816187,0.005688744,0.001636661,0.008858241
85032,04013103305,PHOENIX,AZ,0.040804542,0.042259244,0.038297872,0.040693396
85032,04013619500,PHOENIX,AZ,0.076893465,0.058106461,0.033060556,0.071983428
85032,04013619700,PHOENIX,AZ,0.047509062,0.009345794,0.029787234,0.043473521
85011,04013110501,PHOENIX,AZ,1,1,1,1
85067,04013110501,PHOENIX,AZ,1,1,1,1
85044,04013116711,PHOENIX,AZ,0.044507072,0.043824701,0.016750419,0.043661489
85044,04013116707,PHOENIX,AZ,0.06577688,0,0,0.060616455
85044,04013116719,PHOENIX,AZ,0.147665639,0.172310757,0.102177554,0.14754741
85044,04013116718,PHOENIX,AZ,0.086036371,0.097609562,0.051926298,0.08560788
85044,04013116720,PHOENIX,AZ,0.097841115,0.055776892,0.05360134,0.094477385
85044,04013116729,PHOENIX,AZ,0.011751569,0,0,0.010829617
85044,04013116715,PHOENIX,AZ,0.050090397,0,0.003350084,0.046258637
85044,04013116708,PHOENIX,AZ,0.156971179,0.207171315,0.060301508,0.156612927
85044,04013116733,PHOENIX,AZ,0.001435712,0,0,0.001323075
85044,04013116709,PHOENIX,AZ,0.068222908,0.189243028,0.152428811,0.076640369
85044,04013116704,PHOENIX,AZ,0.061469744,0.079681275,0.487437186,0.074827265
85044,04013116717,PHOENIX,AZ,0.087525258,0.109561753,0.058626466,0.087764003
85044,04013116710,PHOENIX,AZ,0.092310965,0.030876494,0.010050251,0.086881952
85044,04013116721,PHOENIX,AZ,0.028395193,0.013944223,0.003350084,0.026951536
85024,04013616800,PHOENIX,AZ,0.202924273,0.177531207,0.110638298,0.199796684
85024,04013617000,PHOENIX,AZ,0.034989858,0.239944521,0.187234043,0.049343134
85024,04013614900,PHOENIX,AZ,0.189486139,0.284327323,0.319148936,0.19721614
85024,04013614700,PHOENIX,AZ,0,0.156726768,0.131914894,0.011260557
85024,04013612400,PHOENIX,AZ,0.255493577,0.0110957,0.034042553,0.237644667
85024,04013616700,PHOENIX,AZ,0.086713996,0.047156727,0.017021277,0.083203003
85024,04013612300,PHOENIX,AZ,0,0.026352288,0,0.001485768
85024,04013616900,PHOENIX,AZ,0.208248817,0.048543689,0.170212766,0.198545511
85024,04013615000,PHOENIX,AZ,0,0.004160888,0,0.000234595
85024,04013619300,PHOENIX,AZ,0.02214334,0.004160888,0.029787234,0.021269941
85076,04013116708,PHOENIX,AZ,1,1,1,1
85023,04013104207,PHOENIX,AZ,0,0.0015625,0,5.49662E-05
85023,04013103612,PHOENIX,AZ,0.038167939,0.003125,0,0.036387622
85023,04013103609,PHOENIX,AZ,0.297478603,0.128125,0.218390805,0.290386412
85023,04013103614,PHOENIX,AZ,0.001734906,0.0015625,0,0.001703952
85023,04013103604,PHOENIX,AZ,0.088827203,0.0515625,0.026819923,0.086626725
85023,04013618600,PHOENIX,AZ,0.098542679,0.2890625,0.367816092,0.109107899
85023,04013618800,PHOENIX,AZ,0.133934768,0.1765625,0.168582375,0.135931402
85023,04013103900,PHOENIX,AZ,0.000520472,0.0125,0,0.000934425
85023,04013618700,PHOENIX,AZ,0.059796438,0.03125,0.007662835,0.058044303
85023,04013618900,PHOENIX,AZ,0.080037011,0.028125,0.026819923,0.07744737
85023,04013103608,PHOENIX,AZ,0.108952117,0.2015625,0.137931034,0.112625735
85023,04013103605,PHOENIX,AZ,0.092007865,0.075,0.045977011,0.090749189
85033,04013093106,PHOENIX,AZ,0.00012364,0,0,0.000117117
85033,04013112503,PHOENIX,AZ,0,0.057224607,0.024752475,0.002635123
85033,04013109604,PHOENIX,AZ,0.066023739,0.007153076,0,0.06283305
85033,04013109705,PHOENIX,AZ,0.027942631,0.032904149,0.024752475,0.028107981
85033,04013109500,PHOENIX,AZ,0.086857072,0.054363376,0.02970297,0.084850969
85033,04013109701,PHOENIX,AZ,0.165492087,0.052932761,0.108910891,0.160215495
85033,04013112509,PHOENIX,AZ,0,0.190271817,0.00990099,0.00790537
85033,04013082008,PHOENIX,AZ,0.00018546,0.032904149,0.024752475,0.001815307
85033,04013109703,PHOENIX,AZ,0.055514342,0.120171674,0.054455446,0.058148387
85033,04013082010,PHOENIX,AZ,0.016011375,0.008583691,0.01980198,0.015752181
85033,04013112504,PHOENIX,AZ,0.037586548,0.032904149,0.03960396,0.03741875
85033,04013109702,PHOENIX,AZ,0.083456973,0.04148784,0.02970297,0.081103238
85033,04013109801,PHOENIX,AZ,0.071092977,0.094420601,0.04950495,0.071792469
85033,04013109601,PHOENIX,AZ,0.087969832,0.050071531,0.03960396,0.08584646
85033,04013109802,PHOENIX,AZ,0.072947577,0.014306152,0.00990099,0.069801487
85033,04013109900,PHOENIX,AZ,0.00098912,0.010014306,0,0.001346841
85033,04013109603,PHOENIX,AZ,0.077089515,0.108726753,0.099009901,0.07864379
