GEOID10,GEOID20,WEIGHT,PAREA
40130101012006,40130101041021,0.282784644,0.1178662
40130101012006,40130101041022,0.059533609,0.280366397
40130101012007,40130101032028,0.647058824,0.485802542
40130101012007,40130101032029,0.352941176,0.514197458
40130101012008,40130101041003,1,1
40130101012009,40130101032001,0,0.057403878
40130101012009,40130101032002,1,0.617374734
40130101012009,40130101032007,0,0.325221388
40130101012010,40130101032000,1,0.185651683
40130101012010,40130101032003,0,0.814348317
40130101012011,40130101032004,1,1
40130101012012,40130101032005,1,1
40130101012013,40130101032006,1,1
40130101012014,40130101032030,1,1
40130101012015,40130101032031,1,1
40130101012016,40130101041006,1,1
40130101012017,40130101032027,0.364344214,0.364344214
40130101012017,40130101032044,0.635655786,0.635655786
40130101012018,40130101032024,1,1
40130101012019,40130101032008,0.625,0.399305497
40130101012019,40130101032015,0.375,0.600694503
40130101012020,40130101032009,0.846153846,0.231983018
40130101012020,40130101032022,0.025641026,0.123383515
40130101012020,40130101032023,0.128205128,0.644633467
40130101012021,40130101032010,0.952655522,0.934269304
40130101012021,40130101032011,0.047344478,0.065730696
40130101012022,40130101032011,1,1
40130101012023,40130101032012,1,1
40130101012024,40130101032013,1,1
40130101012025,40130101032014,1,1
40130101012026,40130101032025,0.022351804,0.067448612
40130101012026,40130101032026,0.089407217,0.112738212
40130101012026,40130101032042,0.100583119,0.107499433
40130101012026,40130101032043,0.122934924,0.131249527
40130101012026,40130101032045,0.099516255,0.060474678
40130101012026,40130101032046,0.565206681,0.520589538
40130101012027,40130101032046,1,1
40130101012028,40130101032019,0.569500967,0.390149878
40130101012028,40130101032040,0.025886408,0.140342192
40130101012028,40130101032041,0.045301213,0.136900193
40130101012028,40130101032047,0.359311413,0.332607737
40130101012029,40130101032020,1,1
40130101012030,40130101032032,1,1
40130101012031,40130101032011,0.656063943,0.709202316
40130101012031,40130101032021,0.281402228,0.143197719
40130101012031,40130101032033,0.062533829,0.147599965
40130101012032,40130101032012,0.709760794,0.760235851
40130101012032,40130101032017,0.133956557,0.146710144
40130101012032,40130101032018,0.156282649,0.093054005
40130101012033,40130101032016,0.317833094,0.427842147
40130101012033,40130101032034,0.11918741,0.10953369
40130101012033,40130101032039,0.562979496,0.462624163
40130101012034,40130101032039,1,1
40130101012035,40130101032039,1,1
40130101012036,40130101032039,1,1
40130101012037,40130101032039,1,1
40130101012038,40130101032047,1,1
40130101012039,40130101032094,1,1
40130101012040,40130101032092,0.828465851,0.904788963
