geoid20,aland20,awater20,lat20,lon20,name,land_acre
4.01361E+13,1251632,9124,33.6799209,-112.0571237,Deer Valley,309.2845254
4.01311E+13,176873,5249,33.56602,-112.0760676,North Mountain,43.70620267
4.01312E+13,326158,81509,33.4171282,-112.0767436,South Mountain,80.59527259
4.01362E+13,191419,91,33.6509057,-112.079069,Deer Valley,47.300592
4.01311E+13,0,4921,33.5039253,-112.0732176,Alhambra,0
4.01311E+13,1825,18506,33.5230836,-112.0247164,Camelback East,0.450966625
4.01311E+13,0,617504,33.4033412,-112.1808416,Estrella,0
4.01306E+13,28669,140,33.4935238,-112.3190689,Maryvale,7.084253245
4.01311E+13,132721,7218,33.5585568,-112.0712797,North Mountain,32.79602271
4.01361E+13,15745873,1689,33.8212284,-112.1868987,North Gateway,3890.883948
4.01362E+13,1273629,11343,33.6631115,-111.9832761,Desert View,314.720094
4.01312E+13,222447,91044,33.2984125,-112.0037349,Ahwatukee Foothills,54.96776594
4.01311E+13,382518,8394,33.5399422,-112.0523516,Camelback East,94.52211039
4.01311E+13,0,7402,33.5083738,-111.9924608,Camelback East,0
4.01311E+13,335,2845,33.4982159,-112.0537037,Encanto,0.082780175
4.01312E+13,3115,2589,33.5031852,-112.0801961,Encanto,0.769732075
4.01311E+13,78954,8847,33.4917693,-112.0452063,Camelback East,19.50992817
4.01311E+13,33067,8066,33.4407201,-111.9640888,Camelback East,8.171021035
4.01361E+13,29301,667,33.7070887,-112.0482818,Desert View,7.240423605
4.01311E+13,721423,14231,33.485469,-111.9565087,Camelback East,178.2672304
4.01311E+13,396448,5122,33.4844296,-112.0598325,Encanto,97.96428304
4.01311E+13,374995,3093,33.4695315,-112.0974462,Encanto,92.66313948
4.01311E+13,276673,6106,33.467355,-112.0204963,Encanto,68.36728167
4.01311E+13,20,5228,33.4995087,-112.099864,Alhambra,0.0049421
4.0131E+13,446282,474,33.6076591,-112.1117231,North Mountain,110.2785136
4.01312E+13,0,19236,33.3281623,-111.9821363,Ahwatukee Foothills,0
4.01312E+13,5330,217,33.4889338,-112.1130616,Alhambra,1.31706965
4.01311E+13,0,13888,33.516448,-112.008523,Camelback East,0
4.01312E+13,184768,3537,33.4925033,-112.1151931,Alhambra,45.65709664
4.01311E+13,76581,3302,33.4614146,-112.0110951,Central City,18.92354801
4.01311E+13,11131,306,33.4395183,-111.9795476,Central City,2.750525755
4.01311E+13,6579,284,33.5013118,-112.091072,Alhambra,1.625703795
4.01308E+13,2540384,17733,33.4283984,-112.2641023,Estrella,627.7415883
4.01311E+13,7766,8515,33.5021816,-111.9850959,Camelback East,1.91901743
4.01361E+13,7847938,2329,33.7444854,-112.0306683,Desert View,1939.264719
4.01311E+13,239943,10304,33.5540123,-112.106598,North Mountain,59.29111502
4.01311E+13,44209,1062,33.4930216,-112.0487306,Encanto,10.92426495
4.01311E+13,0,4027,33.4645885,-112.0145961,Central City,0
4.01361E+13,2501198,3447,33.7656659,-112.0139022,Desert View,618.0585318
4.01311E+13,76278,3674,33.4904838,-112.1817937,Maryvale,18.84867519
4.0131E+13,351565,941,33.594772,-111.9572543,Paradise Valley,86.87346933
4.0131E+13,403845,7131,33.6166417,-112.0797986,North Mountain,99.79211873
4.01311E+13,26234,39430,33.4749342,-112.087871,Encanto,6.48255257
4.01361E+13,0,19387,33.7112193,-112.0475932,Desert View,0
4.01312E+13,2273,78,33.4904908,-112.1289969,Alhambra,0.561669665
4.01311E+13,0,13750,33.5129524,-111.9994302,Camelback East,0
4.01311E+13,307826,10925,33.4947129,-111.9712118,Camelback East,76.06534373
4.01311E+13,106152,31,33.4922245,-111.9489265,Camelback East,26.23068996
4.01311E+13,0,10088,33.4879032,-112.1734197,Maryvale,0
4.01311E+13,0,11652,33.4410202,-111.9728254,Camelback East,0
4.0131E+13,7740,155,33.5693385,-112.1173044,North Mountain,1.9125927
4.01312E+13,12064,130,33.493641,-112.1132397,Alhambra,2.98107472
4.01311E+13,0,134628,33.4015592,-112.1886422,Estrella,0
4.01362E+13,1000379,12092,33.6511213,-112.0069569,Paradise Valley,247.1986528
4.01361E+13,980300,932,33.8012884,-112.1571173,North Gateway,242.2370315
4.01311E+13,8082,1061,33.4943306,-112.0480651,Camelback East,1.99710261
4.01361E+13,2748740,767,33.7920716,-112.0036107,Desert View,679.2273977
4.01308E+13,194537,4250,33.5032283,-112.2811413,Maryvale,48.07106539
4.01361E+13,3365205,2317,33.7684029,-112.2114236,North Gateway,831.5589815
4.01311E+13,0,8964,33.5363166,-112.0437063,Camelback East,0
4.0131E+13,0,6240,33.5712619,-112.114568,North Mountain,0
4.01311E+13,3535,4253,33.5239536,-112.0264728,Camelback East,0.873516175
4.01311E+13,929243,2061,33.4199686,-112.0894019,Central City,229.6205915
4.01311E+13,8923,5098,33.5022499,-112.0644849,Encanto,2.204917915
4.01311E+13,95153,4612,33.4884404,-112.167843,Maryvale,23.51278207
4.01361E+13,13825044,13414,33.8955266,-112.1907307,Rio Vista,3416.237498
4.01311E+13,68496,92,33.452507,-111.9940505,Camelback East,16.92570408
4.01362E+13,818043,19231,33.667906,-111.9916317,Desert View,202.1425155
4.01361E+13,947260,906,33.8352404,-112.1497421,North Gateway,234.0726823
4.0131E+13,195321,4799,33.5988649,-112.0066824,Paradise Valley,48.26479571
4.01311E+13,141814,5996,33.5647625,-112.078208,North Mountain,35.04294847
4.01361E+13,13405399,1426,33.7905547,-112.0278518,Desert View,3312.54112
4.0131E+13,352037,70145,33.5688813,-112.1247289,North Mountain,86.99010289
4.01361E+13,24595742,25346,33.7545823,-112.1685787,North Gateway,6077.730827
4.01311E+13,175073,2988,33.4812228,-112.0400544,Encanto,43.26141367
