name,Hou_10E,Hou_O_10E,Hou_V_10E,P_As_10E,P_Bl_10E,P_Hi_10E,P_Ot_10E,P_Wh_10E,Pop_10E,Hou_20E,Hou_O_20E,Hou_V_20E,P_As_20E,P_Bl_20E,P_Hi_20E,P_Ot_20E,P_Wh_20E,Pop_20E
Surprise,52586,43272,9314,2884,5648,21724,3584,83677,117517,58831,52309,6522,3771,7404,28373,8744,94856,143148
Tempe,73462,66000,7462,9035,9021,34092,8860,100711,161719,82626,75530,7096,17169,11393,39698,14676,97651,180587
Tonopah,30,29,1,2,0,14,0,44,60,13,9,4,0,1,4,3,15,23
Tolleson,2169,1959,210,53,377,5241,155,719,6545,2294,2173,121,97,500,5712,195,712,7216
El Mirage,11326,9416,1910,464,1926,15120,1124,13163,31797,11481,10551,930,652,2406,17666,2103,12978,35805
Fountain Hills,13167,10339,2828,403,210,925,382,20569,22489,13883,11482,2401,550,265,1242,887,20876,23820
Gila Bend,943,664,279,9,31,1257,121,504,1922,715,629,86,14,7,1369,135,367,1892
Gila Crossing,141,137,4,0,5,91,511,14,621,141,141,0,0,0,117,512,7,636
Gilbert,74907,69372,5535,11877,6606,31074,6966,151930,208453,93230,88896,4334,17690,9601,45132,16824,178671,267918
Wickenburg,3619,2909,710,32,15,854,138,5324,6363,4499,3634,865,43,54,971,351,6055,7474
Peoria,64818,57457,7361,4832,4904,28629,4458,111242,154065,76546,70111,6435,8557,7028,38811,10289,126300,190985
Phoenix,590149,514806,75343,43894,86788,589877,52500,672573,1445632,630752,583009,47743,63996,118527,661574,92291,671751,1608139
Ahwatukee Foothills_bg,33528,31300,2228,4693,3969,9554,3169,55959,77344,34527,32555,1972,5389,4876,12864,6270,51205,80604
Alhambra_bg,52611,43993,8618,4786,7764,61969,5827,47418,127764,53582,49198,4384,7084,13579,69749,9381,46457,146250
Camelback East_bg,70693,60088,10605,2946,7570,44591,6685,73450,135242,75483,67484,7999,4285,9194,42790,10225,78860,145354
Central City_bg,22418,18084,4334,628,5299,37634,2089,11373,57023,26236,22695,3541,1146,7459,33601,3411,15430,61047
Deer Valley_bg,70462,64034,6428,7129,4753,27348,5662,120764,165656,75321,71112,4209,11518,7565,34800,11355,116602,181840
Desert View_bg,22136,19398,2738,2102,686,3409,1162,41748,49107,29184,26089,3095,4870,1099,5128,3315,50595,65007
Encanto_bg,27669,22699,4970,1638,3061,24428,2894,22593,54614,30129,26871,3258,1909,3861,23260,4161,25456,58647
Estrella_bg,24785,21146,3639,1459,6529,61927,2330,13802,86047,25571,23944,1627,1446,8138,70334,3466,12741,96125
Laveen_bg,15884,13979,1905,3183,8073,22141,2007,12430,47834,18677,18136,541,3102,12276,33689,4064,12916,66047
Maryvale_bg,64557,55360,9197,2839,10799,157608,4854,31852,207952,67598,64016,3582,3910,15472,173614,8037,28463,229496
North Gateway_bg,6767,6057,710,808,362,1406,534,13310,16420,9426,8826,600,1501,783,2614,1524,17408,23830
North Mountain_bg,71838,63231,8607,4810,7625,47704,7490,94155,161784,72654,67630,5024,5523,12771,57429,11884,86282,173889
Paradise Valley_bg,75999,68543,7456,5689,3433,27779,4522,126191,167614,77409,71515,5894,9923,4265,33411,9488,117409,174496
Rio Vista_bg,2568,2095,473,211,306,1015,268,5244,7044,2078,1868,210,203,308,1075,484,4602,6672
South Mountain_bg,38476,33726,4750,1973,17533,68827,3729,18492,110554,42278,39809,2469,3288,17942,76052,6541,21759,125582
